,Part Number,Supplier Name,Description,Quantity,Price,Total Cost,Margin %,Months No Sale
165,01-04249,gamma sales inc.,shinko 804 big block 90/90-21,1,104.99,68.22,35.022383084103254,54
180,01-05040,gamma sales inc.,lexin smart pump tire pump,1,85.99,66.47,22.70031398999884,0
490,0130-0866,parts canada/power twins,i10/i70 pp dk smk shld,1,54.99,35.72,35.04273504273504,18
503,0136-0024,parts canada/power twins,helmet lock,1,47.95,29.610000000000003,38.24817518248175,7
505,0136-0026,parts canada/power twins,helmet service pad icon,2,29.99,38.94,35.07835945315105,1
507,0136-0043,parts canada/power twins,lock helmet ball reda,1,34.99,22.72,35.06716204629894,7
509,0136-0047,parts canada/power twins,"helmet lock extensions pr,",2,25.99,36.34,30.08849557522124,7
875,0301-0557,parts canada/power twins,120/70zr18 (59w) roadtec z8,2,296.99,386.04,35.00791272433415,6
889,0301-0604,parts canada/power twins,120/70zr17 (58w) roadtec 01,-1,331.99,215.77,35.00707852646164,6
998,0301-0892,parts canada/power twins,120/70zr18 (59w) battlax st t32,1,341.99,221.88,35.12090996812772,7
1023,0301-0936,parts canada/power twins,120/70zr19 (60w) road 6 front,2,435.99,566.74,35.00539003188147,0
1024,0301-0936,parts canada/power twins,120/70zr19 (60w) road 6 front,2,435.99,566.74,35.00539003188147,0
1084,0302-0693,parts canada/power twins,190/55zr17 (75w) roadtec z8 in,2,418.99,544.6400000000001,35.00560872574524,3
1098,0302-0711,parts canada/power twins,190/55zr17tl (75w) supercorsa,1,603.99,392.5700000000001,35.00389079289392,7
1126,0302-0850,parts canada/power twins,180/55zr17 (73w) pilot road 4 gt,8,471.99,2454.16,35.004978919044895,1
1129,0302-0852,parts canada/power twins,190/55zr17 (75w) pilot road 4,2,482.99,627.84,35.00486552516615,23
1157,0302-1007,parts canada/power twins,190/55zr17 (75w) roadtec 01 (h,3,468.99,914.4600000000002,35.0050107678202,7
1164,0302-1053,parts canada/power twins,200/55zr17 (78w) diablo rosso,2,473.99,616.1400000000001,35.00495791050444,7
1218,0302-1212,parts canada/power twins,180/60zr17 (75w) diablo rosso,2,391.99,509.54,35.00599505089416,38
1274,0302-1298,parts canada/power twins,200/60zr17 (80w) diablo rosso,1,503.99,327.57000000000005,35.004662790928386,7
1328,0302-1479,parts canada/power twins,190/55zr17 (75w) roadtec 01 se,1,464.99,302.22,35.00505387212628,3
1361,0302-1577,parts canada/power twins,190/55zr17 (75w) m+s mutant,1,389.99,253.47,35.00602579553322,7
1445,0305-0005,parts canada/power twins,110/90-19 62h d404 front,1,193.99,126.07,35.012114026496214,7
1559,0305-0566,parts canada/power twins,130/90b16 73h battlecruise h50,1,312.99,203.13,35.10016294450302,7
1622,0305-0842,parts canada/power twins,130/80b17 65h cruisetec (i) spec,2,411.99,535.54,35.00570402194228,2
1629,0306-0007,parts canada/power twins,130/90-17 68h d404 rear,1,199.99,129.97000000000003,35.01175058752937,7
1759,0306-0685,parts canada/power twins,mt90b16 74h cruisetec rear,2,391.99,509.54,35.00599505089416,7
