,Part Number,Description,Supplier Name,Price,Quantity,Cost Per Unit,Total Cost,Months No Sale
413,2880234-01,"KIT-SADDLEBAGS,N,BLK",polaris acceptance,1349.99,4,944.99,3779.96,11
448,2882853-LNA,"K-SEAT,PASS,SC,W/BACKREST,BRN",polaris acceptance,619.99,10,433.99,4339.9,10
449,2889385-VBB,"K-SEAT,SYNSOLO,BLKVYL",polaris acceptance,324.99,3,227.49,682.47,10
458,1224-0032,REGINA 525 ZRP CHAIN 120 LINKS,parts canada/power twins,347.99,1,163.44500000000002,163.44500000000002,9
537,2884899-266,"K-MOUNT,DRIVING LIGHT,3.5 ,BLK",polaris acceptance,279.99,2,195.99,391.98,11
545,286170308,"MENS LACE UP BOOT BK, 8",polaris acceptance,299.99,1,194.99,194.99,9
546,286170313,"MENS LACE UP BOOT BK, 13",polaris acceptance,299.99,2,194.99,389.98,9
550,286273903,"WMNS LINDY VEST BK, M",polaris acceptance,259.99,4,168.99,675.96,9
561,286283703,MW BLACK HILLS JKT CE BLK M,polaris acceptance,339.99,1,220.99,220.99,9
562,286283709,MW BLACK HILLS JKT CE BLK XL,polaris acceptance,339.99,1,220.99,220.99,9
566,286283802,WW BLACK HILLS JKT CE BLK S,polaris acceptance,339.99,1,220.99,220.99,9
567,286065812,WW ZOE JKT-2XL,polaris acceptance,359.99,1,233.99,233.99,9
573,286295306,GLOSS STRIPE HLMT ECE SIL L,polaris acceptance,359.99,1,233.99,233.99,9
608,1310-2266,SHOCK 412 TRIUMPH 12.5,parts canada/power twins,547.99,1,383.5700000000001,383.5700000000001,9
1250,286280709,"MODULAR MATTE HELMET BK, XL",polaris acceptance,389.99,3,253.49,760.47,9
1464,286285309,WW RIDING LEGGING BLK XL,polaris acceptance,299.99,2,194.99,389.98,9
1726,397174,HELM HORIZON SKID BK/YE HVS L,kimpex,279.99,2,149.54000000000002,299.08000000000004,11
1938,830465,HELMET SIGNET-X DIAMOND WH XL,kimpex,1009.99,1,643.87,643.87,11
2332,2884801-VBA,"K-BACKREST,BAGR,PASS,VINYL",polaris acceptance,254.99,4,178.49,713.96,10
2496,148721,"FUEL TANK, PAINTED, ICE QUEEN",royal enfield,624.99,1,406.0,406.0,10
2498,1760097/D,"COMPACT ENGINE GUARD, ",royal enfield,258.99,2,161.0,322.0,10
2627,A9701459,"RID SEAT,LOW HE",triumph motorcycles,310.99,6,201.5,1209.0,10
2823,A9510553,"TAIL PACK, QR",triumph motorcycles,285.99,2,185.25,370.5,11
3433,286263609,"MENS DETROIT BOMBER GY, XL",polaris acceptance,324.99,1,211.24,211.24,11
3445,Aug-42,84-99 EVO 42MM TOTAL CARB KIT,parts canada/power twins,935.99,1,542.02,542.02,11
3446,2884677,K-WIND DEFLECTOR MOUNT,polaris acceptance,259.99,5,181.99,909.95,11
3456,MLHS19E30-L,VANCE JACKET,triumph motorcycles,574.99,1,373.75,373.75,10
3478,330-0709,Camshaft Kit Bolt (Royal Enfiel 650 ,royal enfield,279.99,1,105.53,105.53,10
3486,2885004-156,"K-RACK,SOLO,CHR",polaris acceptance,424.99,1,297.49,297.49,9
3490,2880239-626,"KIT-CONTROLS,RR,N,BLK",polaris acceptance,259.99,5,181.99,909.95,9
3507,2879577-01,"KIT-BAG,WINDSHIELD,BLK",polaris acceptance,259.99,1,181.99,181.99,9
3582,286170009,"MENS MOC TOE BOOT BR, 9",polaris acceptance,299.99,2,194.99,389.98,9
3583,286170309,"MENS LACE UP BOOT BK, 9",polaris acceptance,299.99,2,194.99,389.98,9
3584,286170310,"MENS LACE UP BOOT BK, 10",polaris acceptance,299.99,2,194.99,389.98,9
3595,2884996-266,"K-HDLT,ADAPT,5 ,H4,BLK",polaris acceptance,704.99,3,493.49,1480.47,10
3600,286284314,MW BECKMAN JKT 2 CE BLK 3XL,polaris acceptance,559.99,1,363.99,363.99,9
3601,286283706,MW BLACK HILLS JKT CE BLK L,polaris acceptance,339.99,1,220.99,220.99,9
3602,28628463832,MW RIDING JEAN CE BLK 38 X 32,polaris acceptance,284.99,2,185.24,370.48,9
3605,286065806,WW ZOE JKT-L,polaris acceptance,359.99,1,233.99,233.99,9
3607,286295302,GLOSS STRIPE HLMT ECE SIL S,polaris acceptance,359.99,1,233.99,233.99,9
3608,286295303,GLOSS STRIPE HLMT ECE SIL M,polaris acceptance,359.99,1,233.99,233.99,9
3691,0302-1217,180/55R17 73V SCORPION RALLY S,parts canada/power twins,525.99,1,241.02,241.02,10
4160,MLJS20531-30,TRIPLE JEAN,triumph motorcycles,550.99,1,220.0,220.0,10
4822,2884775-266,"K-FOG LIGHT,BLK",polaris acceptance,409.99,2,286.99,573.98,9
4827,2881790-463,"K-SHOCK-REAR,SCOUT,ACC,MBLK",polaris acceptance,1284.99,2,899.49,1798.98,11
4845,1750044/B,ALUMINIUM PANNIER SILVER,royal enfield,930.99,6,733.63,4401.78,10
4882,5264425,150/70R18 MC/TL 70V TOURANCE N,thibault canada,401.99,1,261.29,261.29,10
5634,KAB00268/A,REAR CALIPER P81 -ANODIZED (NO,royal enfield,335.99,5,239.51,1197.55,10
5818,A9518171,MAGNETIC TANK BAG SPTS,triumph motorcycles,260.99,1,169.0,169.0,11
5821,A9759192,GRABRAIL MOUNT KIT,triumph motorcycles,255.99,1,165.75,165.75,9
5882,A9631556,HEATED GRIP KIT,triumph motorcycles,445.99,3,289.25,867.75,9
