,Part Number,Description,Price,Total Cost,Margin %,Quantity,Quantity Ordered YTD,Sales Last 3 Months,Sales - This Year,Months No Sale,COGS,Turnover,Demand,Ordering Cost,Carrying Cost,EOQ
2984,0711 9978 396,bulb,6.97,10.12,27.403156384505024,2,0,0,0,0,0.0,0.0,1.9792457988610148e-80,0.0,85.034,0.0
6419,11009056145,repair kit for oil change,39.99,167.3,40.235058764691175,7,0,0,1,4,23.9,0.0818829656023023,0.7802105263157895,0.0,1926.408,0.0
6420,11009056146,repair kit f oil cooler oil,43.99,131.45000000000002,40.236417367583535,5,0,2,5,0,131.45000000000002,0.4601382690119892,4.072534692520775,0.0,2385.38625,0.0
6537,11111251228,compression spring,2.99,1.5700000000000005,47.49163879598662,1,0,0,0,7,0.0,0.0,3.933415435511446e-54,0.0,64.58400000000002,0.0
6541,11111256974,stop disk,63.99,91.4,28.582591029848416,2,0,0,0,7,0.0,0.0,9.17904235587312e-57,0.0,1884.5055,0.0
6550,11111263903,hex nut,6.99,7.960000000000001,43.06151645207439,2,0,0,0,7,0.0,0.0,0.033135418783325,,0.0,0.0
6552,11111335090,rubber grommet,8.99,21.8,39.37708565072303,4,0,0,0,7,0.0,0.0,0.0016006863515577,,0.0,0.0
6558,11111337567,o-ring,9.99,5.99,40.04004004004004,1,1,3,3,0,17.97,0.9726657645466844,2.378321711314188,4.154362250616453,4.156875,2.180313767557376
6561,11111338342,shaft seal,49.99,89.73000000000002,40.16803360672134,3,0,0,0,7,0.0,0.0,0.0252517375912629,,0.0,0.0
6563,11111340009,dowel,6.99,30.24,38.19742489270386,7,0,0,0,7,0.0,0.0,0.0012198461102834,,0.0,0.0
6567,11111341135,shaft seal,41.99,26.24,37.50893069778519,1,0,0,0,7,0.0,0.0,0.0082867013361868,3.5933622506164533,9.44775,0.0793948157683466
6568,11111341351,gasket,0.99,0.0,100.0,1,0,0,0,7,0.0,0.0,0.0018213297252587,,0.0,0.0
6570,11111341418,plug,15.99,67.20000000000002,39.9624765478424,7,0,0,0,7,0.0,0.0,0.1715700446686063,482.8259999999999,109.13175,1.2321270569738316
6572,11111341849,shaft seal,29.99,17.979999999999997,40.046682227409136,1,0,0,0,7,0.0,0.0,0.0082881049620353,0.0,130.4565,0.0
6575,11111342242,o-ring,4.99,18.24,39.07815631262525,6,0,0,2,4,6.08,0.1843541540327471,1.5605090512612994,0.0,3.2980000000000005,0.0
6579,11111460391,o-ring,5.99,12.8,46.57762938230384,4,0,0,0,7,0.0,0.0,0.0202093228731503,0.0,2.3960000000000004,0.0
6580,11111460392,o-ring,5.99,3.2,46.57762938230384,1,0,0,0,7,0.0,0.0,0.0044417964378039,0.0,10.33275,0.0
6581,11111460399,plug,2.99,3.5200000000000005,41.1371237458194,2,0,0,1,6,1.7600000000000002,0.2565597667638484,0.7811867864170667,4.919999999999999,6.6885,1.0720391058915035
6583,11111464808,shaft seal,23.99,15.2,36.640266777824095,1,0,0,0,7,0.0,0.0,0.0377371125203444,2.181,23.39025,0.0838899107157712
6585,11111744327,"plug, black",4.99,8.43,43.687374749499,3,0,0,1,3,2.81,0.1716030534351145,0.7820335085860154,0.0,179.715625,0.0
6586,11112343010,gasket ring,3.99,10.4,47.86967418546366,5,0,0,7,3,14.56,0.5347043701799485,5.633356417466064,8.64,26.54925,1.914826174182928
6592,11112343018,"shaft seal, output shaft",31.99,60.96,36.480150046889655,3,0,0,1,3,20.32,0.1914632997267502,0.7808455772566325,,0.0,0.0
6593,11112343019,"shaft seal, compensating sha",26.99,84.80000000000001,37.1619118191923,5,0,0,0,7,0.0,0.0,0.1716216384538788,0.0,688.245,0.0
6595,11112343223,pin,3.99,14.56,47.86967418546366,7,0,0,0,7,0.0,0.0,0.0082905973243154,0.0,76.10925,0.0
6596,11112343233,roll pin,5.99,12.8,46.57762938230384,4,0,0,1,6,3.2,0.1251956181533646,0.7820327123382285,0.0,162.306,0.0
6597,11112343234,dowel pin,6.99,4.0,42.77539341917024,1,0,0,0,7,0.0,0.0,0.1718825582486549,0.0,44.3865,0.0
6617,11117651407,dowel,3.99,2.4000000000000004,39.849624060150376,1,0,0,0,7,0.0,0.0,1.1895140875346466e-14,0.0,66.23400000000001,0.0
6621,11117653180,fillister head screw,3.99,12.000000000000002,39.849624060150376,5,0,0,0,2,0.0,0.0,2.7758573614710445e-17,7.776,19.451250000000005,4.711052444306985e-09
6624,11117658311,repair set inspection,38.99,418.00000000000006,51.26955629648627,22,0,13,19,0,361.00000000000006,0.3476904110644527,14.824,,0.0,0.0
6629,11117666292,bump stop,32.99,42.580000000000005,35.46529251288269,2,0,0,1,4,21.290000000000003,0.2778466557911909,0.7878137864856888,,0.0,0.0
6638,11117671730,shaft seal,34.99,172.40000000000003,38.41097456416119,8,0,0,0,7,0.0,0.0,9.429432976262084e-07,0.0,2687.2320000000004,0.0
6640,11117672243,torx bolt,1.99,1.1,72.36180904522614,2,0,0,0,7,0.0,0.0,4.555115107109228e-08,0.0,38.208000000000006,0.0
6641,11117672244,torx bolt,1.99,6.050000000000001,72.36180904522614,11,0,0,0,7,0.0,0.0,1.0011663519625336e-08,0.0,210.144,0.0
6644,11117672247,torx bolt,2.99,4.41,50.836120401337794,3,0,0,0,7,0.0,0.0,1.0629844517960641e-10,0.0,2.01825,0.0
6645,11117672505,temperature sensor coolant /,59.99,42.48,29.188198033005506,1,0,0,0,7,0.0,0.0,2.336327931947561e-11,0.0,260.9565,0.0
6648,11117675355,spacer,30.99,19.2,38.04453049370765,1,0,0,0,7,0.0,0.0,2.48058702840829e-13,30.02534700739745,10.8465,1.1719023883648382e-06
6649,11117682158,vibration damper,32.0,163.84,36.0,8,1,0,10,2,204.8,0.5722268790164852,7.802105263157949,,0.0,0.0
6651,11117685005,shaft seal,31.99,81.28,36.480150046889655,4,0,0,0,7,0.0,0.0,0.3768995192068843,0.0,92.771,0.0
6653,11117686581,gasket,33.99,21.120000000000005,37.864077669902905,1,0,0,0,7,0.0,0.0,0.0182070406367324,0.0,619.46775,0.0
6654,11117689534,shaft seal,26.99,16.96,37.1619118191923,1,0,0,0,7,0.0,0.0,0.0040017158788944,0.0,562.7415,0.0
6659,11117690503,dowel pin,5.99,3.43,42.73789649415693,1,0,0,0,7,0.0,0.0,2.052488326582039e-06,,0.0,0.0
6661,11117690507,hex screw with collar,9.99,23.68,40.74074074074075,4,0,0,0,7,0.0,0.0,9.915040074112013e-08,0.0,843.156,0.0
6666,11117694729,o-ring,3.99,26.88000000000001,51.87969924812029,14,1,10,14,1,26.88000000000001,0.3906976744186047,10.922947368471906,1.377,67.08000000000001,0.6696615465684655
6671,11117700116,"shaft seal, output shaft",31.99,81.28,36.480150046889655,4,0,0,0,7,0.0,0.0,0.0074231062941515,2.256,124.761,0.0163846799170717
6672,11117700117,"shaft seal, compensating sha",26.99,67.84,37.1619118191923,4,0,0,0,7,0.0,0.0,0.0016315206254935,,0.0,0.0
6673,11117700322,grooved ball bearing,55.99,34.1,39.09626719056975,1,0,0,0,7,0.0,0.0,0.0003585910595821,3.4740000000000006,54.59025,0.0067557270108301
6683,11117706514,hexagon bolt with inside tor,3.99,4.48,43.85964912280701,2,0,0,0,7,0.0,0.0,9.433402126532583e-11,,0.0,0.0
6684,11117706613,hexagon bolt with inside tor,3.99,4.180000000000001,47.61904761904761,2,0,0,0,7,0.0,0.0,2.073362488442109e-11,0.0,153.4155,0.0
6688,11117707906,gasket left,38.99,74.4,36.393947165939984,3,0,1,3,1,74.4,0.4825841603424791,2.512113639889245,,0.0,0.0
6697,11117715438,spring,5.99,3.41,43.07178631051753,1,0,0,0,7,0.0,0.0,0.0082868614732705,,0.0,0.0
6708,11117721848,shaft seal,31.99,81.28,36.480150046889655,4,0,1,2,1,40.64,0.2740760722956569,1.5604212583595554,,0.0,0.0
6712,11117728742,screw plug,6.99,4.18,40.2002861230329,1,0,1,1,0,4.18,0.4603524229074889,0.821541886843912,0.0,218.828,0.0
