,Part Number,Description,Supplier Name,Margin %,Margin,Price,Quantity,Gross Profit -  Last Month,Gross Profit -  Last 3 Months,Gross Profit -  Last 6 Months,Gross Profit -  Last 9 Months,Gross Profit -  Last 12 Months,Gross Profit -  Last 2 Years,Gross Profit -  Last 3 Years,Gross Profit -  Last 4 Years,Gross Profit -  Last 5 Years,Gross Profit -  Last 10 Years,Total Gross Profit,Gross Profit - Jan,Gross Profit - Feb,Gross Profit - Mar,Gross Profit - Apr,Gross Profit - May,Gross Profit - Jun,Gross Profit - Jul,Gross Profit - Aug,Gross Profit - Sep,Gross Profit - Oct,Gross Profit - Nov,Gross Profit - Dec
246,01-70785,cns-3 shield with pins clear,motovan corporation,30.0,25.5,84.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1547,0305-0540,110/90-18 61h me888 marathon u,parts canada/power twins,51.25,195.27,380.99,1.0,-380.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.99,-380.99,0.0,0.0,0.0,0.0,0.0
1547,0305-0540,110/90-18 61h me888 marathon u,parts canada/power twins,51.25,195.27,380.99,1.0,-380.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.99,-380.99,0.0,0.0,0.0,0.0,0.0
1548,0305-0540,110/90-18 61h me888 front metz,parts canada    power twins (price,35.01,119.02,339.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.99,679.98,679.98,0.0,0.0,0.0,0.0,0.0,0.0,339.99,-339.99,0.0,0.0,0.0,0.0,0.0
1951,0316-0314,120/70r19 60v karoo street fro,parts canada    power twins (price,35.01,135.47,386.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-386.99,-386.99,-386.99,-386.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1951,0316-0314,120/70r19 60v karoo street fro,parts canada    power twins (price,35.01,135.47,386.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-386.99,-386.99,-386.99,-386.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1951,0316-0314,120/70r19 60v karoo street fro,parts canada    power twins (price,35.01,135.47,386.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-386.99,-386.99,-386.99,-386.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1951,0316-0314,120/70r19 60v karoo street fro,parts canada    power twins (price,35.01,135.47,386.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-386.99,-386.99,-386.99,-386.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1965,0316-0331,90/90-21 54v battlax a41 front,parts canada    power twins (price,35.01,83.67,238.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-238.99,-238.99,238.99,0.0,0.0,0.0,0.0,0.0,238.99,0.0,0.0,0.0,0.0,0.0,0.0
1965,0316-0331,90/90-21 54v battlax a41 front,parts canada    power twins (price,35.01,83.67,238.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-238.99,-238.99,238.99,0.0,0.0,0.0,0.0,0.0,238.99,0.0,0.0,0.0,0.0,0.0,0.0
2008,0316-0459,100/90-19 57t trailmax mission,parts canada/power twins,51.26,114.3,222.99,2.0,0.0,0.0,0.0,222.99,222.99,891.96,1560.93,1783.92,1783.92,1783.92,0.0,222.99,-222.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,0316-0459,100/90-19 57t trailmax mission,parts canada    power twins (price,35.01,78.07,222.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.99,222.99,222.99,222.99,0.0,222.99,-222.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2134,0317-0395,170/60r17 72v karoo street rea,parts canada    power twins (price,35.0,180.62,515.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-515.99,-515.99,-515.99,-515.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2134,0317-0395,170/60r17 72v karoo street rea,parts canada    power twins (price,35.0,180.62,515.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-515.99,-515.99,-515.99,-515.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2134,0317-0395,170/60r17 72v karoo street rea,parts canada    power twins (price,35.0,180.62,515.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-515.99,-515.99,-515.99,-515.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2134,0317-0395,170/60r17 72v karoo street rea,parts canada    power twins (price,35.0,180.62,515.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-515.99,-515.99,-515.99,-515.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2143,0317-0410,150/70r17 69v battlax a41 rear,parts canada    power twins (price,35.0,98.68,281.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-281.95,-281.95,281.95,0.0,0.0,0.0,0.0,0.0,281.95,0.0,0.0,0.0,0.0,0.0,0.0
2143,0317-0410,150/70r17 69v battlax a41 rear,parts canada    power twins (price,35.0,98.68,281.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-281.95,-281.95,281.95,0.0,0.0,0.0,0.0,0.0,281.95,0.0,0.0,0.0,0.0,0.0,0.0
2147,0317-0413,170/60zr17 72w battlax adventu,parts canada    power twins (price,35.01,137.57,392.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-392.99,-392.99,-392.99,-392.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2147,0317-0413,170/60zr17 72w battlax adventu,parts canada    power twins (price,35.01,137.57,392.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-392.99,-392.99,-392.99,-392.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2147,0317-0413,170/60zr17 72w battlax adventu,parts canada    power twins (price,35.01,137.57,392.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-392.99,-392.99,-392.99,-392.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2147,0317-0413,170/60zr17 72w battlax adventu,parts canada    power twins (price,35.01,137.57,392.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-392.99,-392.99,-392.99,-392.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2284,0350-0018,tube 17 mhr tr-4 offroad 140/80-,parts canada/power twins,35.04,22.42,63.99,0.0,-63.99,-63.99,-63.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.99,0.0,0.0,0.0,0.0,0.0,-63.99,0.0,0.0,0.0,0.0,0.0
2284,0350-0018,tube 17 mhr tr-4 offroad 140/80-,parts canada/power twins,35.04,22.42,63.99,0.0,-63.99,-63.99,-63.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.99,0.0,0.0,0.0,0.0,0.0,-63.99,0.0,0.0,0.0,0.0,0.0
2284,0350-0018,tube 17 mhr tr-4 offroad 140/80-,parts canada/power twins,35.04,22.42,63.99,0.0,-63.99,-63.99,-63.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.99,0.0,0.0,0.0,0.0,0.0,-63.99,0.0,0.0,0.0,0.0,0.0
2284,0350-0018,tube 17 mhr tr-4 offroad 140/80-,parts canada/power twins,35.04,22.42,63.99,0.0,-63.99,-63.99,-63.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.99,0.0,0.0,0.0,0.0,0.0,-63.99,0.0,0.0,0.0,0.0,0.0
2285,0350-0018,tube 17 mhr tr-4 offroad 140/8,parts canada    power twins (price,35.0,22.38,63.95,0.0,0.0,0.0,0.0,0.0,0.0,63.95,63.95,63.95,63.95,63.95,0.0,63.95,0.0,0.0,0.0,0.0,0.0,-63.95,0.0,0.0,0.0,0.0,0.0
3291,0603-0070,renthal cl003 clamp kit,parts canada/power twins,43.3,65.38,150.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.99,-150.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
