Part Number,Ja,Fe,Ma,Ap,My,Ju,Jl,Au,Se,Oc,No,De,1st Qtr,2nd Qtr,3rd Qtr,4th Qtr,This Year,Last Year
25-08031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47-540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60-07780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
360012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
876598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65-03463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27-08150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7119902351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
7119901120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7119904207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1598405649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7119904375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
7119903045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
1597686043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7119903791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
7119901114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1418557301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7119901545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
7119902900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
6322328870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7119901544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7119902398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3719-000-234-000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3719-000-236-000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7119904168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7119905198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246
7119906022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7119905032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
7119906348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
96780731A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50122551AB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55610663AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7119906181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
7119905170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7119904691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7119905595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7119904607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
7119904842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
7119904693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7119906225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
7119904950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
7119905077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7119904660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
7119905155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7119904670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
7119905858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7119906327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7119906605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
7119905764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
7119906134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLG-013-00-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16116760285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51148545358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
