,Part Number,Description,Supplier Name,Price,Quantity,Months No Sale,Sales Last Month,Sales Last 3 Months,Sales Last 6 Months,Sales Last 9 Months,Sales Last 12 Months,Sales - This Year,Turnover,Total Cost
8,10-08207-51,painted dsr jet black with,zero motorcycles,4416.99,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3709.15
9,10-08207-51,painted dsr jet black with,zero motorcycles,4416.99,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3709.15
27,09267-30010,head brg,suzuki,41.99,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
28,09267-30010,head brg,suzuki,41.99,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
47,1D6-83330-01,rear signal yamaha v star,action motorcycles / barnes,102.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.99
48,1D6-83330-01,rear signal yamaha v star,action motorcycles / barnes,102.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.99
1901,D-01-07,mount,island bmw,110.82,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.88
1902,D-01-07,mount,island bmw,110.82,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.88
1907,LED8020-SB,8 inch light bar,admore lights,299.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0
1908,LED8020-SB,8 inch light bar,admore lights,299.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0
1911,LED8020-SB-SMK,admore 8 inch smoked light,admore lights,299.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0
1912,LED8020-SB-SMK,admore 8 inch smoked light,admore lights,299.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0
1915,IMC-DRYBAG1,bmw imc dry bag blue,island bmw,99.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0
1916,IMC-DRYBAG1,bmw imc dry bag blue,island bmw,99.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0
1978,B07S2HRTQN,g310gs windscreen,amazon order,129.95,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.48
1979,B07S2HRTQN,g310gs windscreen,amazon order,129.95,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.48
2211,FM465-04RACE,"bmc,race,air,filter,675",bayside performance,139.99,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.39
2235,2035485,ps speed dial fit system,bell sports inc,4.99,1.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.96
2239,7072343,panovision shield clear,bell sports inc,109.95,1.0,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,69.97
2273,7092648,scout air blk lg,bell sports inc,209.99,1.0,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,114.7
2347,7121887,ps broozer xxl gloss blk,bell sports inc,299.95,1.0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,176.06
2375,7123816,"c500,thdclp,gy/bk,sm",bell sports inc,159.99,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.45
2421,7137072,srt m hartluck jamo bk/rd xxl,bell sports inc,499.95,1.0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,266.77
2424,7148766,moto-9s flex vanguard matte,bell sports inc,649.99,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.77
2634,BLACKPOOL,parts for project bike,blackpool - website,872.77,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872.77
2680,46618530541,"front wheel cover, upper cen",bmw,135.99,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.6
2681,46618530541,"front wheel cover, upper cen",bmw,135.99,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.6
2684,52539444676,"bracket, rider's seat",bmw,30.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.96
2685,52539444676,"bracket, rider's seat",bmw,30.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.96
2760,11117666186,shaft seal,bmw,49.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.04
2761,11117666186,shaft seal,bmw,49.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.04
2774,11121744330,cap nut,bmw,8.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.94
2775,11121744330,cap nut,bmw,8.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.94
2781,11127673086,exterior gasket,bmw,69.99,10.0,4,0.0,0.0,2.0,2.0,2.0,2.0,0.0,455.4
2783,11127673086,exterior gasket,bmw,69.99,10.0,4,0.0,0.0,2.0,2.0,2.0,2.0,0.0,455.4
3070,34111454653,covering cap,bmw,9.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.12
