,Part Number,Description,Supplier Name,Price,Quantity,Cost Per Unit,Total Cost,Months No Sale
448,2882853-LNA,"K-SEAT,PASS,SC,W/BACKREST,BRN",Polaris Acceptance,619.99,10,433.99,4339.9,10
458,1224-0032,REGINA 525 ZRP CHAIN 120 LINKS,PARTS CANADA/POWER TWINS,347.99,1,163.44500000000002,163.44500000000002,9
1726,397174,HELM HORIZON SKID BK/YE HVS L,KIMPEX,279.99,2,149.54000000000002,299.08000000000004,11
1893,2884965-01,"K-SADDLEBAG,BOB.BLK",Polaris Acceptance,389.99,4,272.99,1091.96,1
1938,830465,HELMET SIGNET-X DIAMOND WH XL,KIMPEX,1009.99,1,643.87,643.87,11
2332,2884801-VBA,"K-BACKREST,BAGR,PASS,VINYL",Polaris Acceptance,254.99,4,178.49,713.96,10
2823,A9510553,"TAIL PACK, QR",Triumph Motorcycles,285.99,2,185.25,370.5,11
3433,286263609,"MENS DETROIT BOMBER GY, XL",Polaris Acceptance,324.99,1,211.24,211.24,11
3446,2884677,K-WIND DEFLECTOR MOUNT,Polaris Acceptance,259.99,5,181.99,909.95,11
3456,MLHS19E30-L,VANCE JACKET,Triumph Motorcycles,574.99,1,373.75,373.75,10
3481,95-1469,PILOT ROAD 4 GT 180/55ZR17 ,MOTOVAN,370.99,3,200.0,600.0,0
3486,2885004-156,"K-RACK,SOLO,CHR",Polaris Acceptance,424.99,1,297.49,297.49,9
3488,T2017188,"CHAIN & SPROCKET KIT, 112/42/18",Triumph Motorcycles,268.99,1,127.16,127.16,0
3490,2880239-626,"KIT-CONTROLS,RR,N,BLK",Polaris Acceptance,259.99,5,181.99,909.95,9
3595,2884996-266,"K-HDLT,ADAPT,5 ,H4,BLK",Polaris Acceptance,704.99,3,493.49,1480.47,10
3691,0302-1217,180/55R17 73V SCORPION RALLY S,PARTS CANADA/POWER TWINS,525.99,1,241.02,241.02,10
4822,2884775-266,"K-FOG LIGHT,BLK",Polaris Acceptance,409.99,2,286.99,573.98,9
4827,2881790-463,"K-SHOCK-REAR,SCOUT,ACC,MBLK",Polaris Acceptance,1284.99,2,899.49,1798.98,11
4845,1750044/B,ALUMINIUM PANNIER SILVER,ROYAL ENFIELD,930.99,6,733.63,4401.78,10
4965,MTES2208-L,T SPRT MESH-L,Triumph Motorcycles,410.99,1,266.51,266.51,1
5741,T1260495,"CLUTCH COVER, BRUSHED",Triumph Motorcycles,528.99,1,343.63,343.63,0
5818,A9518171,MAGNETIC TANK BAG SPTS,Triumph Motorcycles,260.99,1,169.0,169.0,11
5821,A9759192,GRABRAIL MOUNT KIT,Triumph Motorcycles,255.99,1,165.75,165.75,9
5882,A9631556,HEATED GRIP KIT,Triumph Motorcycles,445.99,3,289.25,867.75,9
5955,1025271-866,"ASM-FENDER,RR,ONYX,BLK,SMK",Polaris Acceptance,1641.99,1,1165.81,1165.81,10
6432,4402-0847,50R BLUETOOTH WITH MESH ,PARTS CANADA/POWER TWINS,778.99,3,409.99,1229.97,11
6433,2882853-VBA,"K-SEAT,PASS,SC,W/BACKREST,BLKV",Polaris Acceptance,579.99,9,405.99,3653.91,11
6444,2880654-156,"KIT-AIRBOX,INDN,50 ST,PAC,CHR",Polaris Acceptance,705.99,3,493.7000000000001,1481.1,10
6452,MDJS20200-30R,ROKKER JEAN,Triumph Motorcycles,449.99,1,292.49,292.49,11
6468,4261641,"180/55ZR17,(73W),ROSSO,4",Thibault Canada,393.99,1,165.27,165.27,9
6606,2889301-266,"K-HANDLEBAR,REDRCH,V,BLK",Polaris Acceptance,279.99,1,195.99,195.99,11
6638,0301-0732,120/70R17 58V SCORPION RALLY S,PARTS CANADA/POWER TWINS,335.99,1,153.95000000000002,153.95000000000002,10
7432,3807-0263,OPTIMATE 3 X 4 BANK,PARTS CANADA/POWER TWINS,350.99,3,198.46,595.38,10
7729,0317-0222,170/60R17 72V TL/TT ANAKEE 3 R,PARTS CANADA/POWER TWINS,414.99,4,269.72,1078.88,11
7813,2884708-266,"K-LIGHT,DRIVING,LED,BLK",Polaris Acceptance,294.99,4,206.49,825.96,9
7840,MLES22107-L,LDS BRAD AIR-L,Triumph Motorcycles,639.99,1,415.99,415.99,11
8642,A9788022,DRESSER BAR KIT BLACK,Triumph Motorcycles,260.99,2,169.0,338.0,11
8667,A9701541,"SEAT, RIDER, LO",Triumph Motorcycles,320.99,5,208.0,1040.0,11
8682,A9770383,CENTRE STAND,Triumph Motorcycles,330.99,1,214.5,214.5,10
8818,A9838094,"FOG LAMPS, LED",Triumph Motorcycles,485.99,1,315.25,315.25,11
8848,A9759193,UPRIGHTS KIT BACKREST CHR,Triumph Motorcycles,350.99,1,227.5,227.5,9
9416,2884226-VNA,"K-SEAT,DRIVER,COMF,BROWN",Polaris Acceptance,389.99,9,226.09,2034.81,10
9421,T2022080,"DISC,FRONT,FLOATING",Triumph Motorcycles,340.99,1,109.34,109.34,9
9423,0301-0764,130/70R18 63H AV91 COBRA CHROM,PARTS CANADA/POWER TWINS,499.99,1,216.43,216.43,9
9515,2884711-266,"K-LIGHT,MNT,CHFTN,BLK",Polaris Acceptance,294.99,2,206.49,412.98,11
10322,T2017580,CHAIN AND SPROCKET KIT,Triumph Motorcycles,268.99,1,134.24,134.24,0
10829,MLES22107-S,LDS BRAD AIR-S,Triumph Motorcycles,639.99,1,415.99,415.99,11
11671,A9759201,RACK KIT CHROME,Triumph Motorcycles,290.99,3,188.5,565.5,9
