,Part Number,Category,Description,Supplier Name,Margin %,Margin,Price,Quantity,Sales Last Week,Sales Last 2 Weeks,Sales Last Month,Sales Last 3 Months,Sales Last 6 Months,Sales Last 9 Months,Sales Last 12 Months,Sales Last 2 Years,Sales Last 3 Years,Sales Last 4 Years,Sales Last 5 Years,Sales Last 10 Years,Months No Sale,Sales - Jan,Sales - Last Jan,Sales - Feb,Sales - Last Feb,Sales - Mar,Sales - Last Mar,Sales - Apr,Sales - Last Apr,Sales - May,Sales - Last May,Sales - Jun,Sales - Last Jun,Sales - Jul,Sales - Last Jul,Sales - Aug,Sales - Last Aug,Sales - Sept,Sales - Last Sept,Sales - Oct,Sales - Last Oct,Sales - Nov,Sales - Last Nov,Sales - Dec,Sales - Last Dec,Total Sales,Last Year Total Sales,Cost Per Unit,Total Cost,Obsolete,Sales Volume - Last Jan,Sales Volume - Last Feb,Sales Volume - Last Mar,Sales Volume - Last Apr,Sales Volume - Last May,Sales Volume - Last Jun,Sales Volume - Last Jul,Sales Volume - Last Aug,Sales Volume - Last Sept,Sales Volume - Last Oct,Sales Volume - Last Nov,Sales Volume - Last Dec,Sales Volume - Sales Last Week,Sales Volume - Sales Last 2 Weeks,Sales Volume - Sales Last Month,Sales Volume - Sales Last 3 Months,Sales Volume - Sales Last 6 Months,Sales Volume - Sales Last 9 Months,Sales Volume - Sales Last 12 Months,Sales Volume - Sales Last 2 Years,Sales Volume - Sales Last 3 Years,Sales Volume - Sales Last 4 Years,Sales Volume - Sales Last 5 Years,Last Year Total Sales Volume,Sales Volume - Jan,Sales Volume - Feb,Sales Volume - Mar,Sales Volume - Apr,Sales Volume - May,Sales Volume - Jun,Sales Volume - Jul,Sales Volume - Aug,Sales Volume - Sept,Sales Volume - Oct,Sales Volume - Nov,Sales Volume - Dec,Total Sales Volume
142,04-103A,ACC,6V-3A BULB,MOTOVAN,35.35%,0.35,0.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,04-136A,ACC,60/55W H4 P45T,MOTOVAN,-44.69%,-2.23,4.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.220000000000001,7.220000000000001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,04-137,ACC,"BULB, H4, 35/35W",MOTOVAN,-37.07%,-1.85,4.99,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.84,20.52,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,04-144,ACC,"12V-3W, A194 {EACH BULB}",MOTOVAN,18.18%,0.18,0.99,11,0,0,0,0,0,0,0,0,0,1,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,8.91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,04-166,ACC,"BULB 12V-35W A7275, BA20S",MOTOVAN,35.12%,1.05,2.99,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9400000000000002,3.8800000000000003,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,04-2157,ACC,BAY15D 12V 32-4CP 1157 WHITE LED ,MOTOVAN,0.33%,0.05,14.99,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.94,29.88,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,04-692,ACC,"IGNITION SW, W/2 KEYS",MOTOVAN,35.01%,16.1,45.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.89,29.89,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,60135,ACC,BLUE BULB 12V5W WEDGE,PARTS CANADA/POWER TWINS,59.30%,1.18,1.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,7119932099,BM,WAVE WASHER,BMW Group Canada,41.41%,0.41,0.99,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5800000000000001,0.5800000000000001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,7119932099,BM,WAVE WASHER,BMW Group Canada,41.41%,0.41,0.99,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5800000000000001,0.5800000000000001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
